% Model,FreeSpaceDataBase.mph
% Version,COMSOL 5.1.0.234
% Date,"Nov 1 2019, 17:38"
% Table,Table 4 - 
% wavelength,freq,"intop1(emw.nPoav), TotalPower1","intop2(emw.nPoav), TotalPower2","intop3(emw.nPoav), TotalPower3"
7.000000000000001E-7,4.2827493999999994E14,8.086852644171875E14,8.076764303852669E14,8.084615783129379E14
7.100000000000001E-7,4.2224289859154925E14,7.862336545193484E14,7.852538890042812E14,7.860168849117965E14
7.200000000000001E-7,4.163784138888888E14,7.645209226210159E14,7.635692329091009E14,7.643109140740542E14
7.300000000000001E-7,4.1067459999999994E14,7.434949030072298E14,7.425703568031058E14,7.432914688176111E14
7.400000000000001E-7,4.051249432432432E14,7.231206256108422E14,7.222223330983536E14,7.229235427436735E14
7.5E-7,3.997232773333333E14,7.033760216503501E14,7.025031183090485E14,7.031850350833841E14
7.600000000000001E-7,3.9446376052631575E14,6.842473886141792E14,6.833990211530488E14,6.840622210885191E14
7.7E-7,3.893408545454545E14,6.657261440063732E14,6.649014604861108E14,6.655465085406675E14
7.8E-7,3.843493051282051E14,6.478066585609169E14,6.470048033866298E14,6.476322713547908E14
7.900000000000001E-7,3.794841240506329E14,6.304850532359548E14,6.297051666317695E14,6.303156459161946E14
8.000000000000001E-7,3.7474057249999994E14,6.137586025904405E14,6.129998235133388E14,6.135939321192014E14
8.100000000000001E-7,3.701141456790123E14,5.976255341705476E14,5.968870051728981E14,5.974653900917581E14
8.200000000000001E-7,3.656005585365853E14,5.820844068898104E14,5.813652802184415E14,5.819286149408611E14
8.300000000000001E-7,3.6119573253012044E14,5.671336424326302E14,5.664330860616376E14,5.669820635762984E14
8.400000000000001E-7,3.568957833333333E14,5.527706261940176E14,5.52087829524911E14,5.5262315160301006E14
8.500000000000001E-7,3.526970094117646E14,5.3899101197188694E14,5.38325190527981E14,5.388475541659656E14
8.6E-7,3.485958813953488E14,5.2578788810090425E14,5.251382873140947E14,5.25648369647159E14
8.700000000000001E-7,3.44589032183908E14,5.131511951089321E14,5.1251709303854875E14,5.1301553648889E14
8.8E-7,3.406732477272727E14,5.010678032355855E14,5.00448511790589E14,5.0093591171884056E14
8.900000000000001E-7,3.3684545842696625E14,4.8952110630365856E14,4.889159720156824E14,4.893928673693969E14
9.000000000000001E-7,3.3310273111111106E14,4.784916782739761E14,4.779000817934168E14,4.783669505971929E14
