% Model,OrthoDipoleGoldSphere.mph
% Version,COMSOL 5.4.0.225
% Date,"Jan 4 2020, 10:23"
% Table,Table 4 {tbl4} - 
% gap_dipole_Au (nm),freq (Hz),"intop1(emw.nPoav) (W), TotalPower1 {gev1}","intop2(emw.nPoav) (W), TotalPower2 {gev2}","intop3(emw.nPoav) (W), TotalPower3 {gev3}"
100,3.843493051282051E14,5.1515178158184144E14,5.1451523812804556E14,5.1504641001907375E14
135.71428571428572,3.843493051282051E14,5.564029284182376E14,5.557711692028195E14,5.5629431553658025E14
171.42857142857144,3.843493051282051E14,5.883693759489545E14,5.876618014354875E14,5.882548455624035E14
207.14285714285714,3.843493051282051E14,6.173004684830332E14,6.165970725556371E14,6.171892925396099E14
242.85714285714286,3.843493051282051E14,6.42297306805968E14,6.415200107329039E14,6.421776698923845E14
278.57142857142856,3.843493051282051E14,6.609279975461858E14,6.601657604608208E14,6.607901474720734E14
314.28571428571433,3.843493051282051E14,6.715176930837248E14,6.706786744584125E14,6.713948137704722E14
350,3.843493051282051E14,6.739209320627352E14,6.73089130782971E14,6.737960571897055E14
385.7142857142857,3.843493051282051E14,6.695974824768644E14,6.687552193808676E14,6.694686697955899E14
421.42857142857144,3.843493051282051E14,6.611081997125849E14,6.603387554819952E14,6.609686491074854E14
457.1428571428571,3.843493051282051E14,6.513617262448725E14,6.505560108984305E14,6.51254250405312E14
492.85714285714295,3.843493051282051E14,6.430564204075925E14,6.42251590181794E14,6.42940326406062E14
528.5714285714287,3.843493051282051E14,6.379644804983508E14,6.372314816747339E14,6.378418888997076E14
564.2857142857143,3.843493051282051E14,6.367541761249996E14,6.36014656737102E14,6.366360239469035E14
600,3.843493051282051E14,6.389760167467255E14,6.382285413110545E14,6.388622947442566E14
