% Model,OrthoDipoleGoldSphere.mph
% Version,COMSOL 5.4.0.225
% Date,"Dec 13 2019, 21:10"
% Table,Table 4 - 
% gap_dipole_Au (m),freq (Hz),"intop1(emw.nPoav) (W), TotalPower1","intop2(emw.nPoav) (W), TotalPower2","intop3(emw.nPoav) (W), TotalPower3"
1.0000000000000001E-7,3.843493051282051E14,5.1163698870172875E14,5.110828386197447E14,5.1162341379199906E14
1.3571428571428573E-7,3.843493051282051E14,5.519177877047815E14,5.5135507379744675E14,5.518658542470239E14
1.7142857142857146E-7,3.843493051282051E14,5.815842710841312E14,5.809795569464308E14,5.81537676618574E14
2.0714285714285716E-7,3.843493051282051E14,6.082784712205062E14,6.076658446742895E14,6.082360161546982E14
2.4285714285714287E-7,3.843493051282051E14,6.314434880388086E14,6.307914002372948E14,6.313977850509252E14
2.785714285714286E-7,3.843493051282051E14,6.490076106141875E14,6.483776678052379E14,6.489775515980274E14
3.1428571428571433E-7,3.843493051282051E14,6.591342619659198E14,6.584721938010134E14,6.590751297101694E14
3.5000000000000004E-7,3.843493051282051E14,6.621350072783715E14,6.613824241088514E14,6.620952004314161E14
3.8571428571428574E-7,3.843493051282051E14,6.582345674946406E14,6.575027253144216E14,6.582024242751576E14
4.2142857142857145E-7,3.843493051282051E14,6.502962362900621E14,6.49636660855679E14,6.502461000192086E14
4.5714285714285715E-7,3.843493051282051E14,6.404830038839401E14,6.397676461497096E14,6.404373386827982E14
4.92857142857143E-7,3.843493051282051E14,6.319553972668721E14,6.31291921998484E14,6.31911531833879E14
5.285714285714287E-7,3.843493051282051E14,6.265154952917095E14,6.258805140129845E14,6.264856339081052E14
5.642857142857144E-7,3.843493051282051E14,6.251165896144508E14,6.244924867155295E14,6.250812324980601E14
6.000000000000001E-7,3.843493051282051E14,6.276406081174136E14,6.270268765050009E14,6.27627128904278E14
