% Model,OrthoDipoleGoldSphere.mph
% Version,COMSOL 5.4.0.225
% Date,"Jan 8 2020, 16:30"
% Table,Table 4 - 
% gap_dipole_Au (nm),freq (Hz),"intop1(emw.nPoav) (W), TotalPower1","intop2(emw.nPoav) (W), TotalPower2","intop3(emw.nPoav) (W), TotalPower3"
100,3.843493051282051E14,5.126096064706518E14,5.119845788715351E14,5.12489556586335E14
135.71428571428572,3.843493051282051E14,5.5193540762274094E14,5.512888540683179E14,5.51836564432711E14
171.42857142857144,3.843493051282051E14,5.81670466485545E14,5.809714432543836E14,5.815574395659654E14
207.14285714285714,3.843493051282051E14,6.079497171425621E14,6.072502269160944E14,6.078318031406542E14
242.85714285714286,3.843493051282051E14,6.308838231552582E14,6.301403813417475E14,6.307699131695799E14
278.57142857142856,3.843493051282051E14,6.48819680820676E14,6.480550153606418E14,6.486875207180756E14
314.28571428571433,3.843493051282051E14,6.589558141346929E14,6.582014386979768E14,6.588239911794781E14
350,3.843493051282051E14,6.621220231689604E14,6.613295881092126E14,6.619786375171894E14
385.7142857142857,3.843493051282051E14,6.585221229691962E14,6.576806066246025E14,6.583963590279109E14
421.42857142857144,3.843493051282051E14,6.503851341059655E14,6.496124986939241E14,6.502679642291771E14
457.1428571428571,3.843493051282051E14,6.404553586445496E14,6.397138224184568E14,6.403373152871465E14
492.85714285714295,3.843493051282051E14,6.320573720189515E14,6.31329479101712E14,6.319429219641661E14
528.5714285714287,3.843493051282051E14,6.264428395961898E14,6.257293079222252E14,6.263132005812351E14
564.2857142857143,3.843493051282051E14,6.248144677817129E14,6.240711748484752E14,6.246803167668315E14
600,3.843493051282051E14,6.272742098658601E14,6.264897327350365E14,6.271683232886028E14
