% Model,ParaDipoleGoldSphere.mph
% Version,COMSOL 5.4.0.225
% Date,"Jan 3 2020, 20:41"
% Table,Table 4 {tbl4} - 
% gap_dipole_Au (nm),freq (Hz),"intop1(emw.nPoav) (W), TotalPower1 {gev1}","intop2(emw.nPoav) (W), TotalPower2 {gev2}","intop3(emw.nPoav) (W), TotalPower3 {gev3}"
100,3.843493051282051E14,1.0830351345131422E15,1.0817311755664742E15,1.0828305058917182E15
135.71428571428572,3.843493051282051E14,8.551045277600078E14,8.541285392244112E14,8.549395666399612E14
171.42857142857144,3.843493051282051E14,7.448398197210529E14,7.43952915090386E14,7.446915330876084E14
207.14285714285714,3.843493051282051E14,6.875527753639519E14,6.867823609520332E14,6.874254934248336E14
242.85714285714286,3.843493051282051E14,6.581100814308699E14,6.573551414170589E14,6.579908862968994E14
278.57142857142856,3.843493051282051E14,6.444422281285726E14,6.436937134304072E14,6.443235358913028E14
314.28571428571433,3.843493051282051E14,6.398332507699224E14,6.390645535779848E14,6.397185093169328E14
350,3.843493051282051E14,6.400800449311698E14,6.393224177105339E14,6.399683072647934E14
385.7142857142857,3.843493051282051E14,6.425403044276666E14,6.417418004172851E14,6.42418160360516E14
421.42857142857144,3.843493051282051E14,6.455177345282658E14,6.447750613877148E14,6.45383547497106E14
457.1428571428571,3.843493051282051E14,6.480433305369051E14,6.472803041824731E14,6.479356312519025E14
492.85714285714295,3.843493051282051E14,6.497292949326352E14,6.489274568340745E14,6.496089601172789E14
528.5714285714287,3.843493051282051E14,6.504942334475439E14,6.49732086611201E14,6.503789999623405E14
564.2857142857143,3.843493051282051E14,6.5053339029793E14,6.49768032483033E14,6.504128008463985E14
600,3.843493051282051E14,6.501014770595959E14,6.493363693886869E14,6.499730379121796E14
