% Model,ParaDipoleGoldSphere.mph
% Version,COMSOL 5.4.0.225
% Date,"Dec 14 2019, 09:18"
% Table,Table 4 - 
% gap_dipole_Au (nm),freq (Hz),"intop1(emw.nPoav) (W), TotalPower1","intop2(emw.nPoav) (W), TotalPower2","intop3(emw.nPoav) (W), TotalPower3"
100,3.843493051282051E14,1.0517247896718696E15,1.0505847722216732E15,1.0516580569657469E15
135.71428571428572,3.843493051282051E14,8.293524636759141E14,8.284315079741738E14,8.292761090124081E14
171.42857142857144,3.843493051282051E14,7.217500039169704E14,7.20971170453895E14,7.216994307155156E14
207.14285714285714,3.843493051282051E14,6.656114604435399E14,6.649482775914234E14,6.655730431821548E14
242.85714285714286,3.843493051282051E14,6.367405837959939E14,6.360908239236345E14,6.36703198120704E14
278.57142857142856,3.843493051282051E14,6.234607515262914E14,6.22862766713417E14,6.234271121901032E14
314.28571428571433,3.843493051282051E14,6.19039951449713E14,6.183940249459079E14,6.189881160831978E14
350,3.843493051282051E14,6.238822984863481E14,6.232094143170062E14,6.238293883149898E14
385.7142857142857,3.843493051282051E14,6.213040962871351E14,6.20657736257599E14,6.212614974304344E14
421.42857142857144,3.843493051282051E14,6.242335655847499E14,6.235880973158854E14,6.241746241826099E14
457.1428571428571,3.843493051282051E14,6.263647811417912E14,6.256830439373319E14,6.26322465427604E14
492.85714285714295,3.843493051282051E14,6.27734455917022E14,6.271131287812515E14,6.276866047597998E14
528.5714285714287,3.843493051282051E14,6.276580012996586E14,6.270461749427601E14,6.27627090921389E14
564.2857142857143,3.843493051282051E14,6.274253924495221E14,6.268138920656851E14,6.273997522520222E14
600,3.843493051282051E14,6.269800412988561E14,6.263767065495832E14,6.269558907815325E14
