% Model,ParaDipoleGoldSphere.mph
% Version,COMSOL 5.4.0.225
% Date,"Jan 8 2020, 20:11"
% Table,Table 4 - 
% gap_dipole_Au (nm),freq (Hz),"intop1(emw.nPoav) (W), TotalPower1","intop2(emw.nPoav) (W), TotalPower2","intop3(emw.nPoav) (W), TotalPower3"
100,3.843493051282051E14,1.084517084730661E15,1.083216945365608E15,1.0843312796671095E15
135.71428571428572,3.843493051282051E14,8.500282020851471E14,8.490716164715711E14,8.498769308501871E14
171.42857142857144,3.843493051282051E14,7.398905572102781E14,7.390062050095125E14,7.397664764148458E14
207.14285714285714,3.843493051282051E14,6.824412030273559E14,6.816409361701352E14,6.823157428245118E14
242.85714285714286,3.843493051282051E14,6.525917421791264E14,6.518272988433319E14,6.52466494567282E14
278.57142857142856,3.843493051282051E14,6.38748901546931E14,6.38004638360498E14,6.386236359088392E14
314.28571428571433,3.843493051282051E14,6.341288964140244E14,6.334214412774055E14,6.340202704888888E14
350,3.843493051282051E14,6.343993849462949E14,6.336549611234722E14,6.342814022171446E14
385.7142857142857,3.843493051282051E14,6.367117867864516E14,6.359289468767378E14,6.36596012971576E14
421.42857142857144,3.843493051282051E14,6.394413302258699E14,6.386719225822796E14,6.39326680271047E14
457.1428571428571,3.843493051282051E14,6.418981017815875E14,6.411666495263875E14,6.417782339621278E14
492.85714285714295,3.843493051282051E14,6.435862730019519E14,6.428174456596492E14,6.434648357999131E14
528.5714285714287,3.843493051282051E14,6.437577035993768E14,6.43024392681904E14,6.436390531448376E14
564.2857142857143,3.843493051282051E14,6.436882553581418E14,6.42911441152601E14,6.43560664509103E14
600,3.843493051282051E14,6.430469129144449E14,6.422636130375608E14,6.429445258403081E14
